Sticking,medicine,Lineal,https://cdn-icons-png.flaticon.com/512/6937/6937607.png,"sticking-plaster,healthcare and medical,Tools and utensils,sticking,band aid,plaster,wound,healthcare,medical"
Dna,medicine,Lineal,https://cdn-icons-png.flaticon.com/512/6937/6937701.png,"biology,dna,healthcare and medical,genetical,dna structure,deoxyribonucleic acid,education,science"
Hospital,medicine,Lineal,https://cdn-icons-png.flaticon.com/512/6937/6937629.png,"nursing,healthcare and medical,hospital,building,healthcare,medical"
Wristband,medicine,Lineal,https://cdn-icons-png.flaticon.com/512/6937/6937658.png,"band,wristband,hands and gestures,wrist,sweat,fashion,sport,hand"
Oxygen,medicine,Lineal,https://cdn-icons-png.flaticon.com/512/6937/6937711.png,"oxygen,regulator,o2,oxygen mask,inhaler,healthcare and medical,gas cylinder,asthma,oxygen tank"
Printing,branding,Lineal,https://cdn-icons-png.flaticon.com/512/6931/6931217.png,"brand identity,brands and logotypes,branding,printing,electronics,logotype,marketing,logo,printer"
Van,branding,Lineal,https://cdn-icons-png.flaticon.com/512/6930/6930925.png,"brand identity,brands and logotypes,branding,transportation,delivery,logotype,marketing,logo,van"
Card,branding,Lineal,https://cdn-icons-png.flaticon.com/512/6930/6930858.png,"logo,brand identity,brands and logotypes,branding,card,logotype,marketing"
Coffee cup,branding,Lineal,https://cdn-icons-png.flaticon.com/512/6930/6930915.png,"brand identity,brands and logotypes,branding,coffee cup,logotype,marketing,logo"
Sticker,branding,Lineal,https://cdn-icons-png.flaticon.com/512/6930/6930937.png,"logotype,branding,brand identity,brands and logotypes,sticker,marketing,logo"
Kimono,sakura festival,Lineal,https://cdn-icons-png.flaticon.com/512/6923/6923097.png,"yukata,cultures,kimono,traditional,japanese,geisha,asian,oriental,japan,fashion"
Canned water,sakura festival,Lineal,https://cdn-icons-png.flaticon.com/512/6923/6923291.png,"canned water,food and restaurant,cola,beverage,soda,water,pop,can,light,glass,sugar,food,drink"
Washi,sakura festival,Lineal,https://cdn-icons-png.flaticon.com/512/6923/6923128.png,"colored,art and design,washi,craft,tape"
Sakura,sakura festival,Lineal,https://cdn-icons-png.flaticon.com/512/6922/6922843.png,"sakura,cherry blossom,japanese,flower,nature"
Geta,sakura festival,Lineal,https://cdn-icons-png.flaticon.com/512/6922/6922856.png,"shoes,cultures,Flip flop,Geta,footwear,sandals,slipper,japan,fashion"
Smart contracts,nft,Lineal,https://cdn-icons-png.flaticon.com/512/6920/6920421.png,"smart contracts,blockchain,business and finance,certificate,document"
Laptop,nft,Lineal,https://cdn-icons-png.flaticon.com/512/6920/6920427.png,"non fungible token,nft,blockchain,business and finance,networking,laptop,computer"
Support,nft,Lineal,https://cdn-icons-png.flaticon.com/512/6920/6920402.png,"non fungible token,nft,blockchain,business and finance,support,networking"
Nft,nft,Lineal,https://cdn-icons-png.flaticon.com/512/6920/6920374.png,"non fungible token,nft,blockchain,business and finance,code"
Coin,nft,Lineal,https://cdn-icons-png.flaticon.com/512/6920/6920417.png,"non fungible token,blockchain,nft,digital money,business and finance,coin"
Avatar,avatars,Lineal,https://cdn-icons-png.flaticon.com/512/6918/6918724.png,"hair bun,brown hair,female,user,woman,avatar,person"
Avatar,avatars,Lineal,https://cdn-icons-png.flaticon.com/512/6918/6918674.png,"person,brown hair,caucasian,female,user,woman,avatar"
Avatar,avatars,Lineal,https://cdn-icons-png.flaticon.com/512/6918/6918678.png,"cultures,muslim,arab,user,woman,avatar,person"
Avatar,avatars,Lineal,https://cdn-icons-png.flaticon.com/512/6918/6918682.png,"caucasian,ginger,male,user,avatar,man,person"
Avatar,avatars,Lineal,https://cdn-icons-png.flaticon.com/512/6918/6918686.png,"black hair,afro,male,user,avatar,man,person"
Lithium,battery,Lineal,https://cdn-icons-png.flaticon.com/512/6916/6916565.png,"battery,ion,electronics,energy,power,technology"
0 percent,battery,Lineal,https://cdn-icons-png.flaticon.com/512/6916/6916678.png,"0 percent,ui,battery level,empty battery,battery status,electronics,energy,power"
Battery,battery,Lineal,https://cdn-icons-png.flaticon.com/512/6916/6916568.png,"electronics,battery,energy,broken,power,technology"
Temperature,battery,Lineal,https://cdn-icons-png.flaticon.com/512/6916/6916581.png,"battery level,battery status,electronics,thermometer,temperature,energy,power,technology"
Explode,battery,Lineal,https://cdn-icons-png.flaticon.com/512/6916/6916594.png,"explode,electronics,explosion,battery,broken,technology"
Necklace,aztec,Lineal,https://cdn-icons-png.flaticon.com/512/6912/6912445.png,"shaman,mesoamerican,cultures,necklace,aztec,fashion"
Shield,aztec,Lineal,https://cdn-icons-png.flaticon.com/512/6912/6912426.png,"cultures,civilization,defense,mexican,feather,aztec,shield"
Vessel,aztec,Lineal,https://cdn-icons-png.flaticon.com/512/6912/6912420.png,"archaeology,ceramics,cultures,art and design,vase,pottery,vessel,art"
Necklace,aztec,Lineal,https://cdn-icons-png.flaticon.com/512/6912/6912377.png,"shaman,aztec,mesoamerican,cultures,necklace,fashion"
Cocoa bean,aztec,Lineal,https://cdn-icons-png.flaticon.com/512/6912/6912437.png,"cocoa,cocoa bean,food and restaurant,seed,chocolate,bean"
Composite,abstract product,Lineal,https://cdn-icons-png.flaticon.com/512/6911/6911864.png,"material,composite,ui,construction and tools,graphic tool,graphics editor,interfaces,graphic design,ribbon design,illustration,layers,graphic"
Ceiling,abstract product,Lineal,https://cdn-icons-png.flaticon.com/512/6911/6911875.png,"ceiling,attic,constructions,construction and tools,worker,working,house,buildings,home"
Module,abstract product,Lineal,https://cdn-icons-png.flaticon.com/512/6912/6912003.png,"module,construction and tools,miscellaneous,unit,product,geometrical,cube,shapes,geometric"
Distribution,abstract product,Lineal,https://cdn-icons-png.flaticon.com/512/6912/6912061.png,"distributor,distribution,industry,retail,shipping and delivery,supplier,ecommerce,delivery,sell,management,product,shop,shopping"
Route,abstract product,Lineal,https://cdn-icons-png.flaticon.com/512/6912/6912008.png,"tracking,shipment,order,maps and location,shipping and delivery,map location,route,package,delivery,box"
Music note,jazz music,Lineal,https://cdn-icons-png.flaticon.com/512/6910/6910005.png,"music and multimedia,enable sound,music player,music note,quaver,song"
Spotlight,jazz music,Lineal,https://cdn-icons-png.flaticon.com/512/6909/6909946.png,"concert,theatre,stage lights,spotlight,entertainment,illumination"
Gramophone,jazz music,Lineal,https://cdn-icons-png.flaticon.com/512/6909/6909998.png,"vinyl disc,music and multimedia,antique,gramophone,electronics,song,record"
Cd music,jazz music,Lineal,https://cdn-icons-png.flaticon.com/512/6909/6909911.png,"cd music,music and multimedia,bluray,cd burning,music player,compact disc,dvd"
Electric piano,jazz music,Lineal,https://cdn-icons-png.flaticon.com/512/6909/6909962.png,"electric piano,electric keyboard,music and multimedia,audio,instrument"
Electric car,electric station,Lineal,https://cdn-icons-png.flaticon.com/512/6904/6904554.png,"charging station,electric car,ecology and environment,transportation,vehicle"
Energy,electric station,Lineal,https://cdn-icons-png.flaticon.com/512/6904/6904541.png,"charge,electronics,energy,power"
Electric station,electric station,Lineal,https://cdn-icons-png.flaticon.com/512/6904/6904454.png,"electric station,ecology and environment,transportation,car,vehicle"
Electric car,electric station,Lineal,https://cdn-icons-png.flaticon.com/512/6904/6904457.png,"electric car,ecology and environment,transportation,vehicle"
Battery,electric station,Lineal,https://cdn-icons-png.flaticon.com/512/6904/6904460.png,"electric,electronics,plug,battery,technology"
Do not tumble dry,laundry,Lineal,https://cdn-icons-png.flaticon.com/512/6896/6896104.png,"do not tumble dry,tumble dry,tumble dryer,shapes and symbols,drying,wash,laundry,machine,symbol,signs"
Cotton,laundry,Lineal,https://cdn-icons-png.flaticon.com/512/6896/6896167.png,"Cotton,shapes and symbols,fabric,clothing,soft,nature,material"
Leather,laundry,Lineal,https://cdn-icons-png.flaticon.com/512/6896/6896194.png,"leather,shoemaker,furniture and household,leather shoe,polisher,miscellaneous,polish,clean,cleaning,shoes,fashion"
Dryer,laundry,Lineal,https://cdn-icons-png.flaticon.com/512/6896/6896170.png,"laundry service,housework,washer,electronics,electronic,laundry,dryer,washing,machine"
Delicate,laundry,Lineal,https://cdn-icons-png.flaticon.com/512/6896/6896103.png,"furniture and household,delicate,wash,bucket,laundry"
Compass,trekking,Lineal,https://cdn-icons-png.flaticon.com/512/6895/6895586.png,"travel,maps and location,cardinal points,explore,orientation,compass,direction"
Appetizer,trekking,Lineal,https://cdn-icons-png.flaticon.com/512/6895/6895674.png,"chips,snack,food and restaurant,junk food,appetizer,fast food,bag"
Medicine cabinet,trekking,Lineal,https://cdn-icons-png.flaticon.com/512/6895/6895576.png,"first aid kit,medicine cabinet,healthcare and medical,medical kit,medication,portable,emergency"
Forest,trekking,Lineal,https://cdn-icons-png.flaticon.com/512/6895/6895537.png,"woodland,woods,forest,tree,landscape,nature"
Lighter,trekking,Lineal,https://cdn-icons-png.flaticon.com/512/6895/6895540.png,"miscellaneous,flame,gas,lighter,smoking,fire"
Take a break,staycation,Lineal,https://cdn-icons-png.flaticon.com/512/6895/6895041.png,"take a break,lettering,miscellaneous,relax"
Ludo,staycation,Lineal,https://cdn-icons-png.flaticon.com/512/6895/6895050.png,"ludo,table games,board game,gaming,fun,entertainment"
Knitting,staycation,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894955.png,"knitting,needle,sewing,wool ball,hobbies and free time,yarn ball,thread"
Stay home,staycation,Lineal,https://cdn-icons-png.flaticon.com/512/6895/6895055.png,"Isolate,lockdown,stay home,quarantine,isolation,healthcare and medical,check"
Spa,staycation,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894926.png,"wellness,massage,spa,treatment,bed,relax"
Human brain,nerd,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894991.png,"medical,healthcare and medical,human brain,body organ,body part,education"
Hat,nerd,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894952.png,"hat,baby hat,propeller,fashion"
Apple,nerd,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894943.png,"food and restaurant,worm,healthy food,diet,bug,apple,fruit"
Steering wheel,nerd,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894784.png,"car wheel,steering wheel,transportation,drive,driving,vehicle,transport"
Ar glasses,nerd,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894837.png,"vr glasses,augmented reality,ar glasses,virtual reality,user,avatar,man,technology"
Kindness,kindness,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894310.png,"kindness,honesty,love,selfcare,compassion,gratitude,give love,voluntary,miscellaneous,charity,help"
Together,kindness,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894480.png,"together,love,miscellaneous,heart,people"
Save water,kindness,Lineal,https://cdn-icons-png.flaticon.com/512/6894/6894365.png,"save water,ecology and environment,water drop,ecology,care,hand"
